time =  5.0629E-01  time past bounce =  2.0128E-04  cycle =  5.1050E+03
     Lnue =  1.1087E+53  Lanue =  2.0825E+47  Lmutau =  5.8113E+46
    j      g           f           h           hm
    1 4.00000E+03 1.92037E+30 4.88682E+26 3.63628E+27
    2 5.03969E+03 4.97191E+30 3.86956E+26 3.07790E+27
    3 6.34961E+03 1.24826E+31 2.88370E+26 2.49477E+27
    4 8.00000E+03 2.79156E+31 1.99087E+26 1.91469E+27
    5 1.00794E+04 3.66475E+31 1.24828E+26 1.37180E+27
    6 1.26992E+04 1.75982E+31 6.93249E+25 9.01251E+26
    7 1.60000E+04 6.10568E+30 3.30427E+25 5.30858E+26
    8 2.01587E+04 1.60881E+30 1.29902E+25 2.72499E+26
    9 2.53984E+04 2.99726E+29 4.00653E+24 1.17618E+26
   10 3.20000E+04 3.60792E+28 9.10210E+23 4.08075E+25
   11 4.03175E+04 2.50496E+27 1.40677E+23 1.07526E+25
   12 5.07969E+04 8.69435E+25 1.33822E+22 2.00323E+24
   13 6.40000E+04 1.25980E+24 6.90674E+20 2.41136E+23
   14 8.06350E+04 6.07280E+21 1.64981E+19 1.67420E+22
   15 1.01594E+05 7.31580E+18 1.49295E+17 5.81089E+20
   16 1.28000E+05 1.06049E+17 3.97682E+14 8.41991E+18
   17 1.61270E+05 1.55097E+15 2.26912E+11 4.05877E+16
   18 2.03187E+05 5.26741E+11 1.85814E+07 4.88952E+13
   19 2.56000E+05 1.04482E+07 1.31844E+02 1.02659E+10
   20 3.22540E+05 1.09233E+01 4.29241E-05 2.38544E+05
   21 4.06375E+05 6.77642E-01 2.87834E-13 3.46188E-01


time =  5.0769E-01  time past bounce =  1.6024E-03  cycle =  5.3270E+03
     Lnue =  1.0511E+53  Lanue =  8.1760E+49  Lmutau =  7.7214E+50
    j      g           f           h           hm
    1 4.00000E+03 2.02521E+30 3.31004E+28 3.51394E+29
    2 5.03969E+03 5.23390E+30 3.40357E+28 3.51864E+29
    3 6.34961E+03 1.31295E+31 2.53643E+28 2.85201E+29
    4 8.00000E+03 2.82023E+31 1.75112E+28 2.18886E+29
    5 1.00794E+04 3.44537E+31 1.09796E+28 1.56824E+29
    6 1.26992E+04 1.54742E+31 6.09765E+27 1.03031E+29
    7 1.60000E+04 5.36878E+30 2.90636E+27 6.06875E+28
    8 2.01587E+04 1.41464E+30 1.14259E+27 3.11519E+28
    9 2.53984E+04 2.63552E+29 3.52405E+26 1.34460E+28
   10 3.20000E+04 3.17247E+28 8.00598E+25 4.66510E+27
   11 4.03175E+04 2.20263E+27 1.23736E+25 1.22923E+27
   12 5.07969E+04 7.64501E+25 1.17707E+24 2.29008E+26
   13 6.40000E+04 1.10775E+24 6.07500E+22 2.75666E+25
   14 8.06350E+04 5.33987E+21 1.45113E+21 1.91393E+24
   15 1.01594E+05 6.43284E+18 1.31316E+19 6.64298E+22
   16 1.28000E+05 7.21848E+16 3.49791E+16 9.62560E+20
   17 1.61270E+05 8.83265E+14 1.99586E+13 4.63996E+18
   18 2.03187E+05 2.23417E+11 1.63437E+09 5.58968E+15
   19 2.56000E+05 2.59456E+06 1.15966E+04 1.17359E+12
   20 3.22540E+05 1.17486E+00 3.77550E-03 2.72702E+07
